Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
1,State,ANDHRA PRADESH,7666,10094,2935,11123,13116,3611,132,104,35,326,561,120,651,627,160,39,41,50,985,1155,284,501,648,138,484,507,146,414,482,188,176,165,104,44,81,10,1283,3013,800,22839,29439,8297,0,0,0,22839,29439,8297
2,State,ARUNACHAL PRADESH,52,75,25,51,53,17,16,20,13,0,0,0,26,22,27,3,1,2,19,25,29,8,18,11,11,7,18,13,25,6,0,0,0,12,44,12,92,118,46,284,383,177,0,0,0,284,383,177
3,State,ASSAM,2333,2328,896,2410,2213,871,299,310,118,83,121,17,324,454,94,26,40,3,724,821,236,84,87,29,640,734,207,190,256,15,182,217,60,183,165,43,205,143,31,6959,7068,2384,22,0,9,6981,7068,2393
4,State,BIHAR,2249,1504,1366,1989,1234,1195,776,443,426,106,79,61,314,219,170,214,254,136,728,508,433,414,258,238,314,250,195,254,169,100,88,40,47,133,31,67,2716,1844,1499,9567,6325,5500,36,33,37,9603,6358,5537
5,State,CHHATTISGARH,3560,2707,797,5429,5656,1510,153,140,62,211,111,80,672,543,171,65,40,7,861,713,250,76,87,20,785,626,230,139,125,45,66,54,23,293,182,152,2997,3155,985,14446,13426,4082,0,0,0,14446,13426,4082
6,State,GOA,1909,878,168,1645,1067,106,19,16,1,1,0,0,0,0,0,25,10,0,11,11,0,0,0,0,11,11,0,1,0,0,0,0,0,2,0,1,725,272,38,4338,2254,314,0,0,0,4338,2254,314
7,State,GUJARAT,5047,4430,1915,15560,14318,5290,59,57,16,205,189,72,373,389,178,134,177,33,614,549,281,315,324,98,299,225,183,180,183,76,125,151,66,135,152,82,930,910,236,23362,21505,8245,2,0,2,23364,21505,8247
8,State,HARYANA,6238,5859,2597,2470,2360,1092,346,325,169,78,62,42,199,185,93,228,189,104,954,937,519,581,579,318,373,358,201,138,128,70,133,103,52,116,71,93,387,400,214,11287,10619,5045,6,4,17,11293,10623,5062
9,State,HIMACHAL PRADESH,1539,2592,497,1164,2003,482,51,89,13,0,0,0,53,103,33,0,0,0,45,122,28,0,0,0,45,122,28,0,0,0,0,0,0,0,0,0,158,199,43,3010,5108,1096,0,0,0,3010,5108,1096
10,State,JAMMU & KASHMIR,1136,1658,162,2603,3618,481,8,22,3,0,0,0,67,82,10,0,0,0,185,253,21,0,0,0,185,253,21,17,22,3,2,5,1,266,377,58,1563,2211,184,5847,8248,923,0,0,0,5847,8248,923
11,State,JHARKHAND,1999,1562,1003,1251,1003,749,763,653,499,94,26,53,434,295,271,23,21,11,394,343,229,195,193,131,199,150,98,74,32,17,30,27,16,28,11,21,72,65,24,5162,4038,2893,5,0,5,5167,4038,2898
12,State,KARNATAKA,16551,21494,3930,19219,23752,4816,266,334,102,216,333,70,2290,3048,681,108,139,38,1643,2205,405,366,479,117,1277,1726,288,566,776,121,306,412,78,300,432,91,2546,4046,525,44011,56971,10857,4,0,4,44015,56971,10861
13,State,KERALA,17043,19931,1860,16958,18443,1634,162,145,14,49,74,9,252,186,153,17,17,7,106,108,14,37,37,5,69,71,9,464,534,26,118,143,21,226,288,67,3619,3599,391,39014,43468,4196,1,0,1,39015,43468,4197
14,State,MADHYA PRADESH,10216,10485,2765,20142,19676,4320,193,171,137,54,38,59,3258,3906,703,224,249,60,825,849,189,51,90,32,774,759,157,138,133,30,272,297,57,921,667,326,4616,4407,1112,40859,40878,9758,17,0,17,40876,40878,9775
15,State,MAHARASHTRA,11806,10877,4296,24477,23223,7634,338,295,90,318,276,140,443,523,128,342,341,66,655,590,238,179,93,42,476,497,196,406,377,112,165,122,48,293,227,112,3007,2450,821,42250,39301,13685,37,0,37,42287,39301,13722
16,State,MANIPUR,155,243,36,165,300,16,22,31,6,96,143,9,164,260,33,1,0,1,23,70,9,15,48,3,8,22,6,23,48,3,2,2,0,0,0,0,17,21,16,668,1118,129,0,0,0,668,1118,129
17,State,MEGHALAYA,173,215,95,75,100,34,29,42,11,0,0,0,40,45,25,0,0,0,11,5,1,1,1,0,10,4,1,10,9,3,5,7,0,24,47,9,54,119,27,421,589,205,0,0,0,421,589,205
18,State,MIZORAM,40,30,37,8,14,6,10,13,6,1,0,1,2,11,4,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,7,11,71,78,65,0,0,0,71,78,65
19,State,NAGALAND,7,2,8,23,47,22,0,0,0,0,0,0,4,4,5,0,0,0,1,3,1,0,0,0,1,3,1,0,0,0,0,0,0,7,0,11,0,0,0,42,56,47,0,0,0,42,56,47
20,State,ODISHA,2370,2440,912,3672,4360,1608,192,223,100,73,91,26,299,247,90,71,79,39,770,923,295,207,263,93,563,660,202,100,117,30,113,119,61,269,270,132,2613,2956,1010,10542,11825,4303,0,0,0,10542,11825,4303
21,State,PUNJAB,1673,1179,1299,2534,1719,1974,90,55,64,95,20,28,266,170,190,180,64,133,718,475,568,381,306,352,337,169,216,160,98,77,257,182,182,135,56,93,594,396,285,6702,4414,4893,0,0,0,6702,4414,4893
22,State,RAJASTHAN,7885,8378,3256,7785,8676,3731,184,229,84,34,38,22,360,407,180,148,154,78,175,162,99,84,75,56,91,87,43,92,123,30,141,157,88,164,222,143,7104,7607,2799,24072,26153,10510,0,0,0,24072,26153,10510
23,State,SIKKIM,76,120,29,52,75,17,4,3,0,0,0,0,18,37,2,0,0,0,22,22,11,9,1,0,13,21,11,0,0,0,0,0,0,10,23,6,29,41,10,211,321,75,0,0,0,211,321,75
24,State,TAMIL NADU,16016,18339,3948,38042,44185,9380,818,804,142,359,284,99,945,1047,242,21,31,1,4408,4839,795,331,342,51,4077,4497,744,181,204,53,984,1057,334,813,739,292,6472,8217,356,69059,79746,15642,35,47,17,69094,79793,15659
25,State,TELANGANA,4442,4775,1303,10402,11562,3218,518,598,256,0,0,0,165,175,126,84,74,32,482,770,318,173,348,82,309,422,236,191,309,90,358,451,262,721,946,569,3889,3288,936,21252,22948,7110,0,0,0,21252,22948,7110
26,State,TRIPURA,251,422,66,313,500,69,13,12,5,12,15,4,13,19,4,0,0,0,31,41,6,6,12,1,25,29,5,2,6,1,0,0,0,0,0,0,12,14,3,647,1029,158,0,0,0,647,1029,158
27,State,UTTAR PRADESH,12313,7608,8109,7439,4455,4939,737,394,441,213,139,144,379,253,218,209,158,179,1124,842,609,496,366,288,628,476,321,280,180,225,107,80,80,1340,758,826,3954,2517,2637,28095,17384,18407,115,22,100,28210,17406,18507
