Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
1,State,Andhra Pradesh,4276,4026,1263,16696,21549,5934,174,186,101,28,45,23,80,95,0,106,111,42,417,610,157,107,161,43,310,449,114,46,53,11,42,41,19,229,177,115,362,582,395,22456,27475,8060,0,0,0,22456,27475,8060
2,State,Arunachal Pradesh,26,30,17,42,28,18,3,5,0,0,0,0,12,35,6,1,1,0,10,20,8,2,3,1,8,17,7,2,1,1,0,0,0,13,31,10,18,20,12,127,171,72,0,0,0,127,171,72
3,State,Assam,1918,1346,651,2747,2120,1112,237,100,107,22,11,7,261,227,86,99,58,32,468,400,171,119,110,43,349,290,128,210,186,50,78,52,28,29,26,11,736,751,342,6805,5277,2597,0,0,0,6805,5277,2597
4,State,Bihar,2840,1704,1692,3487,2480,2076,672,340,514,107,75,74,212,172,145,188,189,163,585,381,369,419,281,253,166,100,116,160,91,104,108,64,85,124,85,68,372,433,264,8855,6014,5554,0,0,0,8855,6014,5554
5,State,Chhattisgarh,1691,1830,547,7283,6644,2079,293,255,57,67,50,19,271,272,97,91,46,42,639,500,231,96,79,27,543,421,204,117,122,42,148,127,23,1290,1128,461,1673,1554,538,13563,12528,4136,0,0,0,13563,12528,4136
6,State,Goa,2243,892,189,1556,812,136,26,12,3,10,2,1,27,2,1,26,18,4,18,0,0,0,0,0,18,0,0,1,1,0,3,0,0,6,0,0,4,0,0,3920,1739,334,0,0,0,3920,1739,334
7,State,Gujarat,2469,2366,1082,14485,14054,5761,51,67,10,146,119,67,370,282,175,91,94,70,453,492,195,255,291,110,198,201,85,102,126,46,202,177,86,184,117,106,78,61,65,18631,17955,7663,0,0,0,18631,17955,7663
8,State,Haryana,3772,3303,1737,3863,3445,1760,392,341,177,118,109,50,50,51,17,89,91,34,826,811,465,542,530,333,284,281,132,97,90,51,88,97,31,378,384,260,2009,1663,887,11682,10385,5469,0,0,0,11682,10385,5469
9,State,Himachal Pradesh,1476,2518,607,971,1544,287,100,204,57,17,30,7,66,179,36,5,15,2,308,549,80,22,58,19,286,491,61,84,152,52,11,74,29,41,62,14,32,45,9,3111,5372,1180,0,0,0,3111,5372,1180
10,State,Jammu & Kashmir,955,1217,138,2906,3772,474,63,90,18,27,38,16,65,102,17,14,25,5,64,68,7,0,0,0,64,68,7,0,0,0,0,0,0,228,328,37,1121,1549,164,5443,7189,876,0,0,0,5443,7189,876
11,State,Jharkhand,1626,1194,966,1957,1466,1180,687,369,424,156,213,186,163,222,157,310,203,174,130,99,63,72,59,51,58,40,12,34,11,23,65,104,38,49,27,27,21,10,18,5198,3918,3256,0,0,0,5198,3918,3256
12,State,Karnataka,5914,7447,1331,34015,41513,8438,585,903,192,9,20,2,125,211,20,63,80,7,241,373,59,47,94,2,194,279,57,43,86,11,107,151,14,692,656,281,748,1521,254,42542,52961,10609,0,0,0,42542,52961,10609
13,State,Kerala,13462,16245,1415,22357,23731,2257,197,263,40,183,217,27,216,190,104,79,61,11,395,401,47,251,256,37,144,145,10,273,256,34,96,97,9,133,151,30,1079,1059,157,38470,42671,4131,0,0,0,38470,42671,4131
14,State,Madhya Pradesh,11918,12547,2806,26282,29533,5660,1240,1440,297,234,433,85,657,971,191,297,518,101,1932,2020,429,541,633,119,1391,1387,310,233,280,72,539,596,80,1754,2120,276,3504,2656,446,48590,53114,10443,16,0,16,48606,53114,10459
15,State,Maharashtra,7199,7138,3246,18123,17329,8240,215,258,98,49,59,17,362,307,120,186,164,67,561,441,231,262,153,136,299,288,95,181,182,89,111,103,71,642,632,393,1194,912,448,28823,27525,13020,0,0,0,28823,27525,13020
16,State,Manipur,101,193,35,73,134,18,31,46,6,4,5,0,264,471,39,0,0,0,45,70,7,35,59,7,10,11,0,9,21,1,12,17,2,8,17,14,39,55,10,586,1029,132,0,0,0,586,1029,132
17,State,Meghalaya,159,177,133,71,147,66,10,6,2,1,2,1,6,4,5,0,0,0,4,12,5,2,7,3,2,5,2,2,2,4,0,0,0,17,15,12,16,14,4,286,379,232,0,0,0,286,379,232
18,State,Mizoram,24,12,19,21,14,25,8,9,10,3,0,5,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,46,67,0,0,0,65,46,67
19,State,Nagaland,13,18,18,18,16,11,5,4,3,0,0,0,8,22,2,1,1,1,1,0,1,0,0,0,1,0,1,6,12,7,0,0,0,3,2,1,5,4,1,60,79,45,9,0,9,69,79,54
20,State,Odisha,1446,1342,632,4212,4702,1511,971,915,434,13,14,7,104,106,38,43,51,15,151,157,80,116,114,58,35,43,22,243,181,146,524,391,318,715,506,409,2433,2811,1033,10855,11176,4623,0,0,0,10855,11176,4623
21,State,Punjab,1404,964,1000,2994,1952,2150,187,114,137,63,38,45,176,76,115,137,79,92,708,485,566,460,318,394,248,167,172,118,124,82,165,134,110,237,125,169,133,70,137,6322,4161,4603,0,0,0,6322,4161,4603
22,State,Rajasthan,5117,5039,2307,13096,13284,6184,303,261,151,72,80,53,198,236,119,65,97,37,74,81,61,48,50,48,26,31,13,117,117,55,62,85,29,524,601,178,2484,2190,1270,22112,22071,10444,0,0,0,22112,22071,10444
23,State,Sikkim,52,122,22,51,125,21,17,20,5,6,9,1,10,24,1,0,0,0,13,20,8,9,16,5,4,4,3,5,8,1,0,0,0,1,0,1,16,47,3,171,375,63,0,0,0,171,375,63
24,State,Tamil Nadu,10378,10485,2545,47792,55987,11966,515,537,148,464,711,213,637,816,127,416,581,123,1079,1227,221,310,348,46,769,879,175,590,884,145,514,593,91,747,378,276,2430,2372,302,65562,74571,16157,0,0,0,65562,74571,16157
25,State,Telangana,336,1586,417,21116,21269,5762,162,239,73,21,23,7,90,93,27,32,46,17,58,92,24,39,68,13,19,24,11,123,7,3,262,135,49,65,247,109,219,253,108,22484,23990,6596,0,0,0,22484,23990,6596
