States,Tourists
Andhra Pradesh,194767874
Arunachal Pradesh,512436
Assam,5856282
Bihar,33621613
Chhattisgarh,19329501
Goa,7081559
Gujarat,54369873
Haryana,4888952
Himachal Pradesh,16093935
Jharkhand,35408822
Jammu & Kashmir,17076315
Karnataka,214306456
Kerala,15604661
MadhyaPradesh,83969799
Maharashtra,119191539
Manipur,176109
Meghalaya,1198340
Mizoram,76551
Nagaland,101588
Odisha,15208540
Punjab,44595061
Rajasthan,50235643
Sikkim,1426127
Tamil Nadu,385909376
Telangana,92878329
Tripura,414388
Uttar Pradesh,285079848
Uttarakhand,35609650
WestBengal,85657365
