Sr. No.,Million Plus Cities,Transport - Multi-Axled/Articulated Vehicles,Transport - Trucks & Lorries,Transport - Light Motor Vehicles (Goods) - Four Wheelers,Transport - Light Motor Vehicles (Goods) - Three Wheelers,Transport - Buses - Stage Carriage,Transport - Buses - Contract Carriage,Transport - Buses - Private Service,Transport - Buses - Other Buses,Transport - Taxies - Motor Cab,Transport - Taxies - Maxi Cab,Transport - Taxies - Other Taxis,Transport - Light Motor Vehicles (Passengers-Auto) - Three Seaters,Transport - Light Motor Vehicles (Passengers-Auto) - Four to Six Seaters,Transport - Motor Cycles on Hire,Transport - Other Vehicles not Covered,Transport - Total Transport,Non-Transport - Two-Wheelers - Scooters,Non-Transport - Two-Wheelers - Mopeds,Non-Transport - Two-Wheelers - Motor Cycles,Note of - Non-Transport - Two-Wheelers - Motor Cycles,Non-Transport - Cars,Non-Transport - Jeeps,Non-Transport - Omni Buses,Non-Transport - Tractors,Non-Transport - Trailers,Non-Transport - Others,Non-Transport - Total Non-Transport
1,Agra,111,4412,6201,12084,608,315,346,1573,1706,208,214,0,8138,0,0,35916,90736,9208,684602,NA,84557,7143,4120,43741,117,1481,925705
2,Ahmedabad,3412,40712,41770,63243,20556,6586,1121,936,0,6034,17701,177299,0,0,0,379370,2470474,294835,NA,***,634533,30858,0,54315,29094,11473,3525582
3,Allahabad,8183,8828,14203,5191,670,261,265,1413,2798,309,0,6751,9046,0,0,57918,124674,55956,722241,NA,15125,10346,53,33626,53,3003,965077
4,Allappuzha,674,2521,4799,2004,483,1530,80,0,2828,0,108,0,10517,0,1498,27042,0,0,148705,NA,31917,NA,NA,271,0,2307,183200
5,Aurangabad,0,6025,11229,12483,2536,684,813,699,29,0,1162,11723,0,0,0,47383,45597,19398,343551,NA,28576,11902,183,10620,6119,2152,468098
6,Bengaluru,43062,62495,79455,43822,14458,2044,10978,15586,91757,35562,13336,173584,32592,0,49191,667922,4731159,0,0,NA,1321815,7672,49117,14638,11150,29607,6165158
7,Bhopal,3590,5511,9574,11663,2724,2036,258,487,11305,0,1832,17431,0,0,0,66411,121986,0,855740,NA,169138,0,19803,20400,0,2306,1189373
8,Chandigarh,0,2017,6388,2991,567,164,2157,44,1306,330,99,5695,0,0,0,21758,175181,1275,190085,NA,469672,24543,0,275,0,0,861031
9,Chennai,43801,63537,69631,22305,9728,14497,3947,14087,87126,36358,2256,117226,9804,0,0,494303,809900,601632,2378160,NA,920473,12699,8820,2754,11773,58369,4804580
10,Coimbatore,2817,13977,13487,7797,3009,595,1431,3856,19537,6091,483,18181,893,0,0,92154,371769,328177,970877,NA,254639,5782,306,9961,1349,23600,1966460
11,Delhi,3158,0,221068,68639,34580,2433,3953,716,107188,29094,1491,85391,42696,0,0,600407,6480874,115119,NA,***,3061817,0,4,211,0,1620,9659645
12,Dhanbad,0,27676,9348,2740,906,0,0,610,26,9,8460,16681,0,0,0,66456,29429,1338,462784,NA,69176,12896,0,4721,4142,116,584602
13,Durg Bhilai,961,16325,10032,3933,947,197,1095,278,1076,148,0,2316,3462,0,0,40770,486697,74776,110446,NA,58788,1775,7288,21203,10922,2559,774454
14,Ghaziabad,1540,5592,10164,1267,220,666,1110,1993,7996,300,357,19191,2973,0,0,53369,185166,27471,439883,NA,186784,3575,858,19511,2,981,864231
