"","States and Uts","2016","2017","2018","2019"
"30","A & N Islands","238","189","254","230"
"1","Andhra Pradesh","24,888","25,727","24,475","21,992"
"2","Arunachal Pradesh","249","241","277","237"
"3","Assam","7,435","7,170","8,248","8,350"
"4","Bihar","8,222","8,855","9,600","10,007"
"31","Chandigarh","428","342","316","305"
"5","Chhattisgarh","13,580","13,563","13,864","13,899"
"32","D & N Haveli","70","67","80","68"
"33","Daman & Diu","71","79","76","69"
"34","Delhi","7,375","6,673","6,515","5,610"
"6","Goa","4,304","3,917","3,709","3,440"
"7","Gujarat","21,859","19,081","18,769","17,046"
"8","Haryana","11,234","11,258","11,238","10,944"
"9","Himachal Pradesh","3,168","3,114","3,110","2,873"
"10","Jammu & Kashmir","5,501","5,624","5,978","5,796"
"11","Jharkhand","4,932","5,198","5,394","5,217"
"12","Karnataka","44,403","42,542","41,707","40,658"
"13","Kerala","39,420","38,470","40,181","41,111"
"35","Lakshadweep","1","1","3","1"
"14","Madhya Pradesh","53,972","53,399","51,397","50,669"
"15","Maharashtra","39,878","35,853","35,717","32,925"
"16","Manipur","538","578","601","672"
"17","Meghalaya","620","675","399","482"
"18","Mizoram","83","68","53","62"
"19","Nagaland","75","531","430","358"
"20","Odisha","10,532","10,855","11,262","11,064"
"36","Puducherry","1,766","1,693","1,597","1,392"
"21","Punjab","6,952","6,273","6,428","6,348"
"22","Rajasthan","23,066","22,112","21,743","23,480"
"23","Sikkim","210","196","180","162"
"24","Tamil Nadu","71,431","65,562","63,920","57,228"
"25","Telangana","22,811","22,484","22,230","21,570"
"26","Tripura","557","503","552","655"
"28","Uttar Pradesh","35,612","38,783","42,568","42,572"
"27","Uttarakhand","1,591","1,603","1,468","1,352"
"29","West Bengal","13,580","11,631","12,705","10,158"
