OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
30,105,IND,India,30,Andaman and Nicobar Island,State,State,NA,NA
1,105,IND,India,1,Andhra Pradesh,Union Territor,Union Territory,NA,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare
2,105,IND,India,2,Arunachal Pradesh,State,State,NA,NA
3,105,IND,India,3,Assam,State,State,NA,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency
4,105,IND,India,4,Bihar,State,State,NA,NA
31,105,IND,India,31,Chandigarh,State,State,NA,Madras|Tamilnad
5,105,IND,India,5,Chhattisgarh,State,State,NA,NA
32,105,IND,India,32,D & N Haveli,State,State,NA,NA
33,105,IND,India,33,Daman & Diu,State,State,NA,NA
34,105,IND,India,34,Delhi,State,State,NA,United Provinces
6,105,IND,India,6,Goa,Union Territor,Union Territory,NA,NA
7,105,IND,India,7,Gujarat,State,State,NA,NA
8,105,IND,India,8,Haryana,Union Territor,Union Territory,NA,DAdra et Nagar Haveli|Dadra e Nagar Haveli
9,105,IND,India,9,Himachal Pradesh,Union Territor,Union Territory,NA,NA
10,105,IND,India,10,Jammu & Kashmir,Union Territor,Union Territory,NA,NA
11,105,IND,India,11,Jharkhand,State,State,NA,Gôa
12,105,IND,India,12,Karnataka,State,State,NA,Goudjerate|Gujerat|Gujerate
13,105,IND,India,13,Kerala,State,State,NA,NA
35,105,IND,India,35,Lakshadweep,State,State,NA,Uttarakhand
14,105,IND,India,14,Madhya Pradesh,Union Territor,Union Territory,NA,NA
15,105,IND,India,15,Maharashtra,State,State,NA,NA
16,105,IND,India,16,Manipur,State,State,NA,Vananchal
17,105,IND,India,17,Meghalaya,State,State,NA,Maisur|Mysore
18,105,IND,India,18,Mizoram,State,State,NA,NA
19,105,IND,India,19,Nagaland,Union Territor,Union Territory,NA,Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi
20,105,IND,India,20,Orissa,State,State,NA,NA
36,105,IND,India,36,Puducherry,State,State,NA,Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental
21,105,IND,India,21,Punjab,State,State,NA,NA
22,105,IND,India,22,Rajasthan,State,State,NA,NA
23,105,IND,India,23,Sikkim,State,State,NA,NA
24,105,IND,India,24,Tamil Nadu,State,State,NA,NA
25,105,IND,India,25,Telangana,State,State,NA,NA
26,105,IND,India,26,Tripura,State,State,NA,NA
28,105,IND,India,28,Uttar Pradesh,State,State,NA,NA
27,105,IND,India,27,Uttarakhand,Union Territor,Union Territory,NA,Pondicherry|Puduchcheri|Pondichéry
29,105,IND,India,29,West Bengal,State,State,NA,Greater Rajasthan|Rajputana
